,water,DehytonPK45,DehytonAB30,Plantacare818,Plantacare2000,Texapon,CC7BZ,ArlyponTT
25,2.13,0,2.64,0,2.64,2.19,0.2,0.2
26,2.37,0,3.56,0,0.11,3.56,0.2,0.2
27,2.36,3.54,0,3.54,0.16,0,0.2,0.2
28,2.25,3.2,3.2,0,0.95,0,0.2,0.2
29,2.41,2.72,0.26,0,0,4.21,0.2,0.2
30,2.7,0,0,0.08,0.03,6.79,0.2,0.2
31,2.49,0,5.19,0,1.37,0.55,0.2,0.2
32,2.56,2.6,0,1.47,2.97,0,0.2,0.2
33,2.55,1.61,0,0,2.23,3.21,0.2,0.2
34,2.14,1.98,2.74,0,0,2.74,0.2,0.2
35,2.45,4.78,1.74,0,0,0.63,0.2,0.2
36,2.68,0.79,0,3.65,0,2.48,0.2,0.2
37,2.1,2.5,0,0,2.5,2.5,0.2,0.2
38,2.36,0,0.18,0,3.53,3.53,0.2,0.2
39,2.34,3.51,0.24,0,3.51,0,0.2,0.2
40,2.1,2.5,2.5,2.5,0,0,0.2,0.2
41,2.13,2.63,0,2.21,2.63,0,0.2,0.2
42,2.56,2.6,0,1.47,2.97,0,0.2,0.2
43,2.13,0,2.64,0,2.64,2.19,0.2,0.2
44,2.36,3.54,0,3.54,0.16,0,0.2,0.2
45,2.25,3.2,3.2,0,0.95,0,0.2,0.2
46,2.37,0,0,3.69,0.21,3.33,0.2,0.2
47,2.19,1.51,0,2.95,0,2.95,0.2,0.2
48,2.14,1.98,2.74,0,0,2.74,0.2,0.2
