water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.36,2.74,4.19,0.57,0.11,0.03
2.34,2.59,3.63,1.28,0.1,0.06
2.37,6.01,0.44,1.05,0.06,0.07
2.42,0.4,0.05,7.05,0.07,0.01
2.32,2.79,4.24,0.48,0.08,0.09
2.42,3.03,2.37,2.11,0.05,0.02
2.25,3.72,1.55,2.24,0.07,0.17
2.21,1.25,3.03,3.23,0.16,0.12
2.35,3.72,2.02,1.77,0.09,0.05
2.35,0.84,2.82,3.85,0.1,0.04
2.26,1.65,2.51,3.35,0.09,0.14
2.22,0.5,6.91,0.1,0.18,0.09
2.24,0.54,3.43,3.54,0.13,0.12
2.36,5,1.09,1.42,0.11,0.02
2.36,3.75,2.53,1.22,0.04,0.1
2.36,5.22,0.19,2.1,0.07,0.06
2.28,2.31,1.31,3.88,0.12,0.1
2.4,2.14,1.64,3.73,0.05,0.04
2.31,1.39,3.18,2.94,0.15,0.03
2.24,0.66,6,0.84,0.1,0.16
2.19,2.6,2.33,2.57,0.12,0.19
2.3,3.59,3.37,0.55,0.14,0.05
2.37,5.73,1.15,0.63,0.01,0.11
2.37,1.3,2.99,3.22,0.04,0.08
