water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.29,2.08,3.14,2.29,0.12,0.08
2.44,2.65,2.86,1.99,0.01,0.05
2.17,0.37,2.7,4.44,0.18,0.14
2.35,2.09,1.68,3.74,0.08,0.06
2.27,2.57,1.37,3.57,0.12,0.1
2.21,0.8,3.64,3.07,0.15,0.13
2.2,0.33,1.15,6.02,0.13,0.17
2.31,1.85,2.34,3.32,0.14,0.04
2.37,4.24,1.77,1.49,0.01,0.12
2.31,3.07,4.18,0.26,0.04,0.14
2.37,2.79,3.08,1.64,0.01,0.11
2.41,3.8,1.98,1.72,0.02,0.07
2.14,2.43,3.31,1.76,0.17,0.19
2.3,1.39,5.26,0.85,0.04,0.16
2.36,2.73,1.03,3.74,0.11,0.03
2.33,2.54,2.24,2.73,0.06,0.1
2.21,4.07,2.68,0.76,0.16,0.12
2.32,2.9,4.32,0.29,0.16,0.01
2.2,1.52,3.69,2.3,0.14,0.15
2.25,4.8,0.5,2.2,0.18,0.07
2.35,1.69,2.46,3.35,0.02,0.13
2.31,5.06,0.31,2.13,0.15,0.04
2.15,0.57,4.44,2.5,0.19,0.15
2.35,3.18,2.75,1.58,0.08,0.06
