water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.27,2.49,1.73,3.29,0.13,0.09
2.3,4.91,0.16,2.44,0.13,0.06
2.33,3.92,2.72,0.86,0.06,0.11
2.27,2.44,2.37,2.7,0.13,0.09
2.15,3.96,1.62,1.93,0.18,0.16
2.15,3.07,0.44,4,0.14,0.2
2.34,0.95,5.52,1.04,0.12,0.03
2.41,2.86,2.72,1.92,0.08,0.01
2.12,2.8,1.82,2.89,0.17,0.2
2.32,5.23,0.07,2.2,0.15,0.03
2.33,5.04,0.53,1.94,0,0.16
2.35,1.12,1.73,4.65,0.14,0.01
2.12,3.58,2.83,1.1,0.19,0.18
2.18,3.1,3.89,0.51,0.12,0.2
2.09,0.77,3.26,3.48,0.2,0.2
2.11,2.69,4.67,0.15,0.2,0.18
2.11,1.18,4.94,1.39,0.19,0.19
2.11,1.61,2.76,3.14,0.19,0.19
2.09,0.85,3.89,2.77,0.2,0.2
2.1,4,3.06,0.45,0.19,0.2
2.11,0.62,5.12,1.76,0.19,0.2
2.1,0.28,5.85,1.38,0.19,0.2
2.12,0.85,4.38,2.28,0.19,0.18
2.09,0.55,2.19,4.77,0.2,0.2
