water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.42,1.29,0.9,5.32,0.03,0.04
2.3,2.15,4.79,0.57,0.17,0.02
2.22,3.03,1.45,3.03,0.12,0.15
2.41,0.67,4.8,2.04,0.06,0.02
2.24,3,3.9,0.61,0.14,0.11
2.18,2.26,4.45,0.8,0.12,0.19
2.29,2.14,4.48,0.89,0.14,0.06
2.33,1.74,5.57,0.19,0.17,0
2.25,3.02,1.21,3.28,0.19,0.05
2.25,2.49,2.55,2.47,0.05,0.19
2.27,1.69,3.19,2.63,0.06,0.16
2.17,1.6,3.56,2.35,0.18,0.14
2.11,2.96,1.95,2.6,0.18,0.2
2.09,2.14,2.87,2.5,0.2,0.2
2.12,0.01,7.42,0.08,0.18,0.19
2.12,3.94,2.51,1.05,0.18,0.2
2.14,1.48,5.49,0.54,0.2,0.15
2.09,0.78,5.54,1.19,0.2,0.2
2.09,0.51,3.6,3.4,0.2,0.2
2.1,1.15,4.74,1.62,0.19,0.2
2.11,0.2,7.25,0.06,0.19,0.19
2.15,0.58,4.67,2.26,0.19,0.15
2.13,2.44,2.63,2.43,0.19,0.18
2.14,2.92,2.79,1.79,0.18,0.18
