water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.25,0.91,3.42,3.18,0.05,0.19
2.28,2.65,2.31,2.55,0.15,0.06
2.16,3.76,1.98,1.76,0.19,0.15
2.39,3.79,1.76,1.96,0.01,0.09
2.44,1.69,3.77,2.05,0.04,0.01
2.2,0.42,4.25,2.84,0.11,0.18
2.45,3.97,0.87,2.66,0.05,0
2.21,3.89,1.64,1.97,0.12,0.17
2.29,2.66,3.69,1.16,0.16,0.04
2.16,3.85,2.78,0.87,0.19,0.15
2.43,1.94,1.63,3.95,0.01,0.04
2.3,2.53,2.23,2.76,0.06,0.12
2.32,4.33,0.59,2.59,0.03,0.14
2.1,0.97,2.38,4.16,0.2,0.19
2.15,0.8,3.03,3.68,0.15,0.19
2.1,3.29,2.71,1.51,0.19,0.2
2.11,1.18,4.94,1.39,0.19,0.19
2.13,0.7,2.13,4.68,0.17,0.19
2.09,0.85,3.89,2.77,0.2,0.2
2.16,0.19,5.11,2.2,0.16,0.18
2.11,0.62,5.12,1.76,0.19,0.2
2.1,0.28,5.85,1.38,0.19,0.2
2.14,1.22,4.23,2.05,0.19,0.17
2.09,0.55,2.19,4.77,0.2,0.2
