water,Texapon,DehytonAB30,Plantacare818,CC7BZ,ArlyponTT
2.24,2.1,2.04,3.37,0.14,0.11
2.22,1.42,0.6,5.49,0.13,0.14
2.48,1.41,3.86,2.23,0.01,0.01
2.41,2.5,3,2,0.06,0.03
2.42,1.26,2.08,4.17,0.02,0.05
2.28,0.65,2.1,4.76,0.03,0.18
2.31,3.56,2.36,1.58,0,0.19
2.25,1.99,1.58,3.94,0.08,0.16
2.45,0.05,4.12,3.34,0.02,0.02
2.42,3.33,1.97,2.2,0.05,0.03
2.14,1.93,2.76,2.81,0.19,0.17
2.19,3.17,1.38,2.96,0.19,0.11
2.23,1.88,0.23,5.4,0.11,0.15
2.43,2.56,2.85,2.09,0.06,0.01
2.25,4.16,0.75,2.59,0.17,0.08
2.3,3.17,2.28,2.05,0.07,0.13
2.18,5.52,0.29,1.69,0.12,0.2
2.23,1.84,3.13,2.54,0.1,0.16
2.26,2.48,1.87,3.16,0.13,0.1
2.19,2.21,2.17,3.13,0.15,0.15
2.13,0.38,5.67,1.46,0.18,0.18
2.28,1.31,4.62,1.58,0.03,0.18
2.14,2.62,3.11,1.78,0.16,0.19
2.35,2.82,1.95,2.74,0.09,0.05
